audio_hidden,video_hidden,text_hidden,audio_dropout,video_dropout,text_dropout,factor_learning_rate,learning_rate,rank,batch_size,weight_decay,Best Validation MAE,Confidence accuracy,Passionate accuracy,Pleasant accuracy,Dominant accuracy,Credible accuracy,Vivid accuracy,Expertise accuracy,Entertaining accuracy,Reserved accuracy,Trusting accuracy,Relaxed accuracy,Outgoing accuracy,Thorough accuracy,Nervous accuracy,Persuasive accuracy,Humorous accuracy,Confidence MAE,Passionate MAE,Pleasant MAE,Dominant MAE,Credible MAE,Vivid MAE,Expertise MAE,Entertaining MAE,Reserved MAE,Trusting MAE,Relaxed MAE,Outgoing MAE,Thorough MAE,Nervous MAE,Persuasive MAE,Humorous MAE,Confidence corr,Passionate corr,Pleasant corr,Dominant corr,Credible corr,Vivid corr,Expertise corr,Entertaining corr,Reserved corr,Trusting corr,Relaxed corr,Outgoing corr,Thorough corr,Nervous corr,Persuasive corr,Humorous corr
8,4,128,0.15,0,0,0.0005,0.0003,1,16,0,0.8295172882080079,0.276,0.325,0.266,0.345,0.232,0.34,0.281,0.325,0.296,0.414,0.389,0.35,0.414,0.419,0.256,0.36,0.963,1.007,0.919,0.891,1.044,0.964,0.978,0.929,0.92,0.613,0.651,0.744,0.722,0.744,1.084,0.755,0.373,0.404,0.065,0.246,0.258,0.328,0.341,0.338,0.023,0.031,0.076,0.173,0.268,0.01,0.22,0.263
16,4,64,0.2,0,0.3,0.0003,0.0003,16,64,0.002,0.8607886505126953,0.241,0.281,0.34,0.325,0.256,0.281,0.246,0.291,0.32,0.414,0.502,0.379,0.414,0.429,0.202,0.384,1.048,1.061,0.891,0.897,1.041,1.015,1.029,0.952,0.937,0.599,0.615,0.726,0.728,0.723,1.125,0.748,0.248,0.301,0.167,0.235,0.221,0.255,0.251,0.286,0.005,0.002,0.124,0.149,0.209,-0.005,0.189,0.226
8,4,128,0,0.2,0.3,0.001,0.001,4,64,0.001,0.8666918182373047,0.256,0.212,0.3,0.34,0.266,0.305,0.286,0.291,0.3,0.557,0.478,0.404,0.389,0.429,0.266,0.36,1.017,1.114,0.909,0.876,1.074,1.035,1.062,0.958,0.912,0.522,0.602,0.704,0.751,0.706,1.107,0.747,0.268,0.237,0.117,0.205,0.117,0.124,0.115,0.245,-0.068,0.107,0.099,0.13,0.088,0.133,0.115,0.218
16,4,64,0.1,0.1,0.1,0.0003,0.003,8,128,0.01,0.8771903991699219,0.246,0.261,0.281,0.335,0.256,0.325,0.3,0.3,0.271,0.409,0.433,0.399,0.374,0.404,0.266,0.404,1.007,1.067,0.914,0.884,1.045,1.003,1.002,0.922,0.988,0.628,0.648,0.703,0.748,0.79,1.08,0.753,0.331,0.339,0.167,0.239,0.226,0.234,0.272,0.326,-0.296,-0.011,0.126,0.284,0.203,-0.246,0.195,0.192
4,16,256,0.3,0.15,0.1,0.003,0.0005,16,8,0.001,0.8801411437988281,0.241,0.207,0.34,0.34,0.256,0.296,0.246,0.3,0.296,0.384,0.414,0.409,0.33,0.355,0.276,0.394,1.076,1.108,0.883,0.879,1.05,1.043,1.031,0.963,0.902,0.564,0.622,0.707,0.749,0.734,1.082,0.79,0.249,0.253,0.12,0.241,0.192,0.191,0.199,0.241,0.086,-0.019,0.055,0.177,0.14,0.087,0.22,0.121
16,8,128,0,0.2,0.5,0.003,0.0005,16,4,0,0.8992253875732422,0.3,0.251,0.291,0.36,0.286,0.325,0.31,0.261,0.291,0.493,0.493,0.394,0.419,0.404,0.286,0.335,0.954,1.037,0.986,0.858,0.995,0.968,0.963,1.043,0.872,0.566,0.61,0.711,0.701,0.697,1.058,0.805,0.397,0.425,-0.003,0.335,0.315,0.339,0.374,0.346,0.239,0.013,0.114,0.222,0.304,0.22,0.262,0.253
8,4,256,0.1,0.1,0.5,0.0003,0.001,16,4,0.002,0.8723646545410156,0.222,0.276,0.335,0.325,0.251,0.286,0.281,0.32,0.32,0.507,0.512,0.374,0.365,0.409,0.217,0.36,1.027,1.106,0.893,0.908,1.067,1.045,1.043,0.951,0.872,0.533,0.586,0.71,0.737,0.679,1.125,0.749,0.258,0.243,0.065,0.259,0.157,0.143,0.155,0.28,0.294,0.101,0.129,0.177,0.194,0.276,0.155,0.289
16,16,64,0.15,0.5,0.2,0.0003,0.0005,16,128,0.001,0.8812769317626953,0.246,0.296,0.365,0.345,0.241,0.291,0.286,0.271,0.315,0.429,0.443,0.389,0.355,0.389,0.236,0.384,1.083,1.097,0.889,0.904,1.061,1.045,0.999,0.981,0.898,0.645,0.609,0.752,0.756,0.725,1.132,0.745,0.21,0.213,0.2,0.151,0.159,0.158,0.199,0.21,0.148,-0.049,0.132,0.094,0.107,0.08,0.141,0.19
16,8,256,0,0.2,0.3,0.0003,0.003,8,128,0,0.8664540100097656,0.31,0.281,0.33,0.325,0.256,0.31,0.271,0.315,0.315,0.463,0.453,0.374,0.36,0.399,0.246,0.345,1.012,1.116,0.871,0.904,1.073,1.039,1.097,0.953,0.899,0.612,0.619,0.714,0.778,0.721,1.15,0.748,0.283,0.226,0.206,0.186,0.158,0.138,0.111,0.26,0.245,-0.021,0.165,0.262,0.079,0.023,0.099,0.179
16,16,256,0.15,0.5,0.1,0.0003,0.001,16,128,0.001,0.8758683013916015,0.271,0.271,0.31,0.355,0.236,0.33,0.271,0.345,0.315,0.443,0.532,0.394,0.335,0.443,0.236,0.365,1.012,1.094,0.867,0.891,1.085,1.041,1.061,0.956,0.864,0.587,0.582,0.693,0.767,0.688,1.124,0.763,0.303,0.276,0.23,0.225,0.138,0.125,0.152,0.271,0.26,-0.054,0.192,0.26,0.101,0.206,0.149,0.23
8,4,128,0.1,0,0.3,0.0003,0.003,4,64,0.01,0.8601651763916016,0.305,0.271,0.325,0.345,0.266,0.325,0.271,0.325,0.315,0.463,0.458,0.394,0.355,0.365,0.241,0.389,0.99,1.094,0.898,0.893,1.072,1.04,1.072,0.931,0.904,0.568,0.601,0.701,0.774,0.765,1.117,0.738,0.324,0.281,0.136,0.232,0.159,0.158,0.157,0.301,0.09,-0.01,0.134,0.272,0.135,-0.278,0.184,0.29
8,8,64,0.1,0.15,0.5,0.0003,0.003,16,4,0,0.8773485565185547,0.266,0.33,0.345,0.379,0.227,0.286,0.291,0.35,0.32,0.36,0.429,0.355,0.33,0.409,0.197,0.424,0.998,1.074,0.883,0.879,1.083,1.031,1.062,0.965,0.851,0.565,0.594,0.765,0.761,0.683,1.146,0.766,0.319,0.306,0.161,0.266,0.173,0.208,0.167,0.29,0.276,0.192,0.14,0.16,0.127,0.249,0.188,0.275
4,4,64,0.2,0.2,0.2,0.0005,0.001,4,128,0.01,0.8683993530273437,0.241,0.241,0.325,0.369,0.241,0.315,0.271,0.31,0.31,0.399,0.419,0.369,0.36,0.379,0.261,0.355,1.024,1.118,0.877,0.894,1.062,1.021,1.032,0.965,0.906,0.558,0.607,0.751,0.786,0.765,1.095,0.756,0.241,0.222,0.187,0.153,0.144,0.151,0.168,0.232,-0.07,-0.083,0.14,0.098,0.116,-0.223,0.181,0.129
16,16,256,0.5,0.1,0.1,0.001,0.0003,16,16,0,0.8426792907714844,0.271,0.325,0.32,0.345,0.222,0.305,0.261,0.296,0.325,0.493,0.394,0.389,0.345,0.424,0.251,0.409,0.997,1.103,0.886,0.869,1.084,0.999,1.015,0.938,0.872,0.564,0.61,0.731,0.746,0.686,1.113,0.748,0.302,0.262,0.079,0.264,0.163,0.216,0.213,0.324,0.239,-0.043,0.116,0.154,0.109,0.255,0.218,0.258
16,8,256,0.15,0.1,0.2,0.003,0.0005,16,64,0,0.851292724609375,0.271,0.251,0.335,0.33,0.227,0.296,0.271,0.281,0.305,0.419,0.483,0.389,0.369,0.394,0.207,0.34,1.006,1.108,0.885,0.889,1.083,1.026,1.062,0.952,0.897,0.55,0.598,0.716,0.762,0.689,1.117,0.752,0.288,0.231,0.132,0.218,0.162,0.189,0.189,0.272,0.195,0.054,0.132,0.098,0.154,0.194,0.2,0.193
4,8,64,0.2,0.15,0.15,0.001,0.0005,16,8,0.001,0.85379150390625,0.261,0.3,0.212,0.335,0.261,0.286,0.31,0.296,0.305,0.433,0.433,0.374,0.419,0.379,0.266,0.36,0.989,1.025,0.946,0.876,1.007,0.985,0.966,0.95,0.932,0.64,0.629,0.734,0.715,0.745,1.061,0.764,0.37,0.381,0.053,0.309,0.307,0.34,0.362,0.327,0.008,-0.057,0.132,0.216,0.313,0.0,0.275,0.189
4,8,256,0,0,0.1,0.0003,0.001,16,16,0.002,0.8807280731201171,0.246,0.241,0.345,0.33,0.246,0.291,0.251,0.305,0.32,0.355,0.473,0.365,0.3,0.424,0.256,0.355,1.015,1.089,0.887,0.878,1.123,1.03,1.056,0.956,0.92,0.623,0.619,0.733,0.753,0.727,1.12,0.742,0.26,0.303,0.116,0.268,0.079,0.151,0.12,0.283,-0.123,0.012,0.03,0.192,0.094,-0.026,0.148,0.257
8,16,64,0.15,0.15,0.15,0.0003,0.003,1,128,0.01,0.924342041015625,0.296,0.271,0.345,0.33,0.256,0.32,0.271,0.315,0.271,0.443,0.394,0.389,0.369,0.399,0.236,0.345,1.009,1.051,0.917,0.874,1.08,1.014,1.042,0.96,0.996,0.66,0.715,0.744,0.817,0.788,1.154,0.769,0.333,0.329,0.17,0.304,0.157,0.234,0.187,0.244,-0.286,-0.044,0.096,0.227,0.14,-0.168,0.151,0.151
4,4,64,0.1,0,0.3,0.0003,0.0005,4,64,0.01,0.8504883575439454,0.232,0.31,0.296,0.335,0.276,0.33,0.315,0.281,0.296,0.414,0.483,0.374,0.438,0.409,0.251,0.32,0.992,1.031,0.93,0.879,0.996,0.951,0.971,0.959,0.956,0.605,0.597,0.717,0.676,0.738,1.062,0.747,0.343,0.376,0.056,0.268,0.286,0.353,0.349,0.313,-0.024,-0.001,0.15,0.23,0.318,-0.011,0.246,0.28
4,8,128,0.15,0.5,0.5,0.0003,0.003,8,8,0.01,0.8628450775146485,0.241,0.251,0.325,0.365,0.236,0.315,0.246,0.325,0.34,0.532,0.488,0.404,0.369,0.414,0.232,0.394,1.012,1.09,0.889,0.877,1.081,1.028,1.055,0.94,0.855,0.538,0.588,0.693,0.786,0.667,1.129,0.752,0.285,0.299,0.123,0.287,0.163,0.205,0.186,0.313,0.341,-0.027,0.113,0.226,0.153,0.307,0.18,0.287
8,8,64,0.2,0.15,0.15,0.0003,0.0003,1,128,0.01,0.989827880859375,0.256,0.246,0.266,0.31,0.241,0.256,0.31,0.291,0.281,0.379,0.36,0.34,0.296,0.394,0.177,0.409,1.126,1.15,1.012,0.895,1.162,1.111,1.101,0.982,0.991,0.706,0.737,0.875,0.849,0.758,1.231,0.767,0.233,0.153,0.184,0.189,-0.041,0.104,0.018,0.215,-0.062,-0.047,0.058,0.074,-0.06,-0.02,0.095,0.045
4,8,128,0.2,0.3,0.3,0.0005,0.0003,4,128,0,0.8744843292236328,0.266,0.256,0.32,0.35,0.241,0.266,0.266,0.296,0.296,0.493,0.404,0.369,0.335,0.399,0.271,0.379,1.027,1.105,0.881,0.9,1.066,1.041,1.053,0.961,0.897,0.541,0.65,0.734,0.777,0.71,1.117,0.748,0.201,0.253,0.12,0.1,0.092,0.055,0.107,0.236,0.148,-0.032,0.043,0.085,0.022,0.125,0.086,0.058
16,4,256,0,0.3,0.3,0.001,0.001,4,16,0.01,0.8799870300292969,0.261,0.291,0.325,0.345,0.256,0.281,0.281,0.305,0.281,0.493,0.478,0.36,0.36,0.433,0.271,0.365,1.032,1.111,0.892,0.9,1.118,1.066,1.057,0.973,0.921,0.555,0.599,0.719,0.766,0.717,1.126,0.749,0.29,0.247,0.15,0.202,0.096,0.122,0.134,0.223,0.058,-0.048,0.128,0.209,0.1,0.028,0.137,0.212
16,8,64,0.3,0.1,0.5,0.0003,0.001,1,32,0.001,0.8532269287109375,0.256,0.296,0.315,0.345,0.261,0.32,0.315,0.315,0.315,0.409,0.468,0.399,0.369,0.448,0.241,0.335,0.99,1.046,0.872,0.886,1.055,0.991,0.978,0.943,0.917,0.605,0.62,0.717,0.738,0.733,1.087,0.746,0.383,0.372,0.222,0.262,0.242,0.273,0.289,0.313,0.058,-0.017,0.152,0.252,0.22,-0.02,0.221,0.261
16,4,256,0.2,0.3,0.5,0.003,0.001,4,8,0.002,0.8444387817382812,0.276,0.241,0.36,0.335,0.281,0.305,0.286,0.31,0.335,0.532,0.493,0.458,0.404,0.443,0.256,0.433,0.975,1.072,0.92,0.892,1.031,0.984,1.027,0.926,0.869,0.554,0.573,0.696,0.733,0.681,1.06,0.755,0.321,0.3,0.067,0.245,0.202,0.23,0.233,0.341,0.324,0.158,0.153,0.329,0.221,0.29,0.253,0.325
16,8,256,0,0.1,0.15,0.0003,0.001,16,4,0,0.881294174194336,0.261,0.305,0.34,0.3,0.256,0.3,0.296,0.291,0.335,0.379,0.483,0.384,0.369,0.419,0.236,0.374,1.029,1.09,0.884,0.94,1.104,1.034,1.061,0.968,0.872,0.555,0.577,0.727,0.754,0.712,1.152,0.762,0.251,0.243,0.201,0.232,0.136,0.128,0.145,0.25,0.266,0.13,0.171,0.215,0.147,0.177,0.137,0.2
4,16,256,0.15,0.3,0.2,0.001,0.0005,16,4,0.002,0.8829017639160156,0.271,0.251,0.291,0.34,0.246,0.34,0.276,0.31,0.325,0.522,0.433,0.404,0.31,0.414,0.256,0.374,1.009,1.101,0.927,0.883,1.078,1.023,1.056,0.992,0.892,0.539,0.601,0.689,0.769,0.692,1.096,0.777,0.263,0.231,-0.044,0.228,0.105,0.153,0.139,0.221,0.216,-0.002,0.107,0.209,0.122,0.23,0.147,0.243
8,8,64,0.15,0.1,0.2,0.003,0.003,4,64,0.01,0.8620474243164062,0.3,0.232,0.315,0.315,0.236,0.32,0.305,0.335,0.31,0.557,0.498,0.419,0.379,0.424,0.246,0.355,1.021,1.092,0.88,0.909,1.068,1.032,1.08,0.937,0.904,0.528,0.585,0.699,0.762,0.669,1.11,0.759,0.3,0.288,0.192,0.289,0.179,0.175,0.153,0.305,0.303,0.097,0.171,0.277,0.144,0.304,0.21,0.258
16,4,128,0,0,0,0.003,0.0003,16,128,0.002,0.8676437377929688,0.251,0.3,0.335,0.33,0.241,0.276,0.256,0.305,0.291,0.468,0.498,0.374,0.399,0.384,0.281,0.355,1.046,1.113,0.883,0.896,1.066,1.041,1.053,0.979,0.903,0.564,0.594,0.742,0.743,0.715,1.093,0.756,0.147,0.188,0.102,0.136,0.084,0.085,0.097,0.152,0.086,0.013,0.062,-0.002,0.056,0.039,0.122,0.138
16,4,128,0.15,0.5,0.15,0.003,0.0005,4,64,0.01,0.849456787109375,0.227,0.276,0.32,0.32,0.261,0.271,0.246,0.296,0.32,0.502,0.488,0.369,0.389,0.394,0.276,0.369,1.019,1.103,0.882,0.912,1.071,1.039,1.05,0.973,0.923,0.547,0.617,0.714,0.741,0.726,1.089,0.737,0.246,0.241,0.126,0.117,0.075,0.061,0.086,0.231,-0.108,0.059,0.178,0.135,0.087,-0.013,0.145,0.218
4,4,256,0.5,0.15,0.3,0.0003,0.003,16,8,0.002,0.8463880920410156,0.256,0.3,0.305,0.315,0.246,0.315,0.271,0.345,0.32,0.414,0.453,0.384,0.399,0.458,0.197,0.433,0.999,1.06,0.914,0.89,1.047,0.999,1.031,0.931,0.893,0.589,0.618,0.745,0.753,0.697,1.108,0.739,0.341,0.343,0.068,0.248,0.234,0.244,0.23,0.339,0.181,-0.024,0.023,0.165,0.176,0.146,0.196,0.329
4,8,128,0.3,0.3,0,0.0003,0.0005,16,8,0,0.8614464569091796,0.266,0.256,0.33,0.335,0.256,0.325,0.286,0.296,0.315,0.512,0.463,0.414,0.384,0.414,0.232,0.365,0.999,1.092,0.9,0.867,1.056,1.01,1.019,0.961,0.878,0.542,0.594,0.703,0.728,0.69,1.085,0.743,0.267,0.262,-0.028,0.281,0.169,0.202,0.213,0.281,0.21,-0.03,0.1,0.195,0.18,0.215,0.207,0.267
4,4,64,0.5,0.5,0.2,0.003,0.0003,16,16,0.002,0.8042111206054687,0.305,0.32,0.261,0.35,0.291,0.31,0.365,0.32,0.315,0.433,0.488,0.355,0.399,0.384,0.276,0.374,0.958,0.993,0.926,0.849,0.972,0.977,0.91,0.929,0.875,0.588,0.592,0.735,0.715,0.696,1.035,0.748,0.423,0.437,0.048,0.381,0.371,0.385,0.446,0.356,0.222,0.002,0.168,0.196,0.347,0.221,0.319,0.314
16,4,128,0.15,0.5,0.3,0.0005,0.0005,1,4,0.002,0.8711665344238281,0.251,0.261,0.31,0.325,0.246,0.325,0.261,0.31,0.34,0.379,0.463,0.369,0.35,0.429,0.256,0.355,1.009,1.09,0.887,0.893,1.083,1.054,1.06,0.962,0.864,0.576,0.598,0.726,0.795,0.688,1.12,0.748,0.283,0.263,0.159,0.229,0.138,0.115,0.145,0.283,0.256,-0.109,0.098,0.119,0.07,0.222,0.165,0.268
8,16,128,0.1,0.2,0.1,0.0005,0.0005,4,8,0.002,0.8609957122802734,0.246,0.246,0.291,0.32,0.266,0.32,0.271,0.3,0.325,0.448,0.488,0.399,0.335,0.419,0.227,0.389,1.001,1.083,0.902,0.897,1.117,1.026,1.04,0.951,0.887,0.566,0.605,0.695,0.763,0.697,1.145,0.747,0.296,0.288,0.09,0.174,0.123,0.149,0.128,0.297,0.102,-0.038,0.1,0.197,0.05,0.15,0.165,0.279
4,8,256,0.2,0.15,0.2,0.003,0.0003,1,128,0.001,0.8585557556152343,0.212,0.281,0.34,0.335,0.251,0.3,0.281,0.291,0.315,0.473,0.404,0.389,0.36,0.399,0.286,0.36,1.081,1.087,0.88,0.89,1.048,1.039,1.036,0.992,0.905,0.55,0.612,0.714,0.743,0.711,1.077,0.758,0.121,0.248,0.146,0.138,0.112,0.154,0.152,0.142,0.041,0.049,0.101,0.119,0.075,0.057,0.139,0.062
16,4,64,0.1,0.1,0.1,0.0005,0.003,8,8,0.001,0.8293069458007812,0.266,0.276,0.271,0.379,0.251,0.251,0.261,0.32,0.374,0.448,0.483,0.429,0.384,0.443,0.291,0.374,0.988,1.071,0.937,0.879,1.047,1.064,1.039,0.93,0.846,0.57,0.599,0.682,0.733,0.696,1.115,0.741,0.33,0.306,0.039,0.278,0.203,0.171,0.2,0.316,0.305,0.012,0.099,0.251,0.239,0.256,0.203,0.287
16,8,256,0.3,0,0,0.001,0.0003,1,64,0.002,0.8661499786376953,0.266,0.296,0.32,0.33,0.251,0.32,0.276,0.305,0.33,0.473,0.507,0.433,0.34,0.438,0.241,0.365,1.025,1.077,0.845,0.879,1.038,1.02,1.024,0.94,0.9,0.556,0.578,0.696,0.737,0.719,1.073,0.747,0.27,0.294,0.279,0.206,0.225,0.209,0.208,0.33,0.103,-0.034,0.184,0.2,0.167,0.014,0.257,0.194
16,4,64,0.1,0.2,0.2,0.0005,0.001,1,128,0.002,0.9093473052978516,0.236,0.281,0.31,0.33,0.241,0.281,0.261,0.33,0.33,0.433,0.483,0.379,0.379,0.414,0.261,0.36,1.046,1.101,0.911,0.913,1.114,1.1,1.124,0.942,0.934,0.612,0.585,0.722,0.768,0.762,1.138,0.753,0.258,0.254,0.182,0.166,0.102,0.067,0.114,0.281,-0.067,-0.01,0.156,0.239,0.139,-0.109,0.158,0.283
16,16,64,0,0.3,0.2,0.0003,0.003,1,4,0.002,0.8856646728515625,0.256,0.305,0.305,0.34,0.246,0.31,0.281,0.296,0.291,0.384,0.483,0.374,0.32,0.369,0.241,0.374,1.039,1.107,0.889,0.874,1.065,1.039,1.025,0.969,0.967,0.602,0.586,0.714,0.746,0.76,1.11,0.76,0.221,0.265,0.187,0.26,0.231,0.177,0.19,0.253,-0.26,0.041,0.138,0.209,0.188,-0.237,0.202,0.181
4,4,128,0,0.3,0,0.0005,0.0003,1,64,0,0.8381974029541016,0.222,0.246,0.3,0.33,0.246,0.345,0.271,0.286,0.296,0.473,0.483,0.419,0.419,0.409,0.271,0.35,1.046,1.131,0.915,0.883,1.048,1.022,1.031,0.958,0.925,0.548,0.57,0.7,0.721,0.729,1.089,0.742,0.204,0.19,0.129,0.21,0.112,0.126,0.146,0.244,-0.163,-0.059,0.242,0.181,0.16,-0.174,0.181,0.223
16,8,128,0.2,0,0.1,0.0003,0.0003,1,4,0,0.8616036987304687,0.232,0.315,0.281,0.374,0.256,0.335,0.315,0.286,0.286,0.399,0.453,0.35,0.374,0.429,0.256,0.433,1.006,1.063,0.908,0.895,1.093,1.044,1.068,0.96,0.975,0.613,0.607,0.746,0.763,0.726,1.099,0.756,0.295,0.311,0.091,0.158,0.09,0.053,0.106,0.294,-0.16,-0.031,0.138,0.194,0.133,0.008,0.169,0.29
16,16,64,0.1,0.5,0,0.0005,0.003,4,32,0.002,0.8789257049560547,0.286,0.227,0.34,0.335,0.246,0.32,0.266,0.305,0.33,0.552,0.488,0.424,0.335,0.443,0.236,0.36,1.007,1.111,0.867,0.909,1.072,1.049,1.044,0.98,0.885,0.56,0.587,0.692,0.759,0.703,1.127,0.753,0.278,0.245,0.216,0.223,0.147,0.136,0.159,0.245,0.212,0.021,0.113,0.263,0.161,0.123,0.157,0.201
8,16,64,0,0.15,0,0.001,0.001,16,8,0.002,0.8739307403564454,0.236,0.296,0.345,0.365,0.266,0.33,0.286,0.32,0.34,0.507,0.488,0.374,0.33,0.409,0.246,0.399,1.028,1.091,0.881,0.879,1.092,1.02,1.048,0.975,0.86,0.552,0.624,0.708,0.759,0.684,1.128,0.755,0.213,0.245,0.074,0.269,0.113,0.158,0.146,0.256,0.251,-0.016,0.124,0.221,0.121,0.233,0.137,0.292
16,8,64,0.1,0,0.1,0.0005,0.001,1,32,0.01,0.8633415985107422,0.246,0.276,0.281,0.34,0.271,0.296,0.315,0.305,0.32,0.404,0.458,0.394,0.384,0.438,0.236,0.34,1.004,1.04,0.91,0.878,1.055,1.017,0.986,0.961,0.958,0.644,0.645,0.736,0.737,0.745,1.086,0.759,0.352,0.368,0.149,0.264,0.236,0.265,0.318,0.295,-0.058,-0.017,0.121,0.234,0.218,-0.07,0.214,0.22
8,8,256,0.1,0.1,0.1,0.0005,0.0003,1,16,0,0.84402099609375,0.241,0.305,0.335,0.296,0.266,0.34,0.281,0.286,0.325,0.532,0.507,0.419,0.369,0.389,0.271,0.404,1.008,1.079,0.886,0.927,1.056,1.015,1.01,0.976,0.903,0.556,0.582,0.698,0.753,0.714,1.095,0.75,0.259,0.25,0.062,0.182,0.134,0.157,0.179,0.241,0.063,-0.092,0.14,0.184,0.082,0.04,0.176,0.203
16,8,128,0.15,0,0.1,0.0003,0.0005,16,8,0,0.8571189880371094,0.291,0.236,0.281,0.33,0.251,0.276,0.222,0.305,0.33,0.458,0.488,0.365,0.35,0.399,0.202,0.394,1.052,1.127,0.903,0.906,1.115,1.08,1.086,0.998,0.907,0.566,0.604,0.734,0.806,0.723,1.171,0.764,0.197,0.212,0.088,0.145,0.059,0.058,0.051,0.163,-0.009,-0.055,0.09,0.091,0.016,-0.044,0.099,0.194
16,4,128,0.2,0.1,0.15,0.0005,0.0005,8,4,0.001,0.8704158782958984,0.232,0.271,0.345,0.325,0.246,0.291,0.276,0.291,0.325,0.498,0.502,0.429,0.419,0.404,0.197,0.389,1.023,1.096,0.886,0.886,1.081,1.054,1.061,0.965,0.913,0.537,0.587,0.687,0.766,0.689,1.13,0.76,0.264,0.257,0.089,0.279,0.15,0.178,0.174,0.273,0.237,-0.018,0.165,0.213,0.125,0.244,0.18,0.26
16,16,64,0.15,0.5,0.15,0.0005,0.0005,8,16,0,0.83663330078125,0.246,0.325,0.271,0.369,0.271,0.315,0.261,0.345,0.296,0.463,0.478,0.35,0.419,0.394,0.256,0.414,0.997,1.026,0.919,0.867,1.005,0.972,0.981,0.94,0.922,0.597,0.613,0.709,0.702,0.73,1.062,0.745,0.351,0.344,0.115,0.298,0.289,0.318,0.321,0.328,0.097,0.014,0.135,0.194,0.302,0.046,0.228,0.286
4,16,256,0.3,0.2,0,0.003,0.003,8,16,0,0.8464304351806641,0.256,0.232,0.3,0.345,0.296,0.33,0.276,0.271,0.32,0.527,0.419,0.414,0.389,0.468,0.281,0.443,1.003,1.117,0.991,0.858,1.038,1.029,1.028,0.968,0.86,0.579,0.621,0.706,0.714,0.685,1.108,0.794,0.292,0.29,-0.034,0.297,0.184,0.251,0.258,0.284,0.289,-0.065,0.035,0.232,0.196,0.257,0.207,0.204
16,8,64,0.3,0,0.15,0.003,0.003,16,4,0.001,0.8793171691894531,0.261,0.222,0.315,0.345,0.251,0.32,0.261,0.31,0.32,0.532,0.502,0.384,0.355,0.384,0.212,0.379,1.002,1.105,0.909,0.859,1.044,1.019,1.019,0.976,0.907,0.574,0.62,0.695,0.733,0.702,1.12,0.772,0.287,0.269,0.022,0.284,0.192,0.179,0.238,0.252,0.166,0.036,0.052,0.21,0.166,0.183,0.184,0.181
4,8,128,0.5,0,0,0.003,0.003,1,128,0.001,0.8442274475097656,0.256,0.207,0.33,0.33,0.246,0.281,0.261,0.305,0.3,0.36,0.502,0.399,0.389,0.409,0.251,0.355,1.02,1.126,0.89,0.88,1.05,1.03,1.035,0.96,0.923,0.572,0.618,0.712,0.745,0.731,1.1,0.747,0.262,0.242,0.008,0.226,0.153,0.166,0.132,0.268,-0.093,-0.034,0.08,0.159,0.034,-0.28,0.107,0.243
4,16,256,0,0.3,0.1,0.003,0.0005,16,4,0,0.8876514434814453,0.276,0.192,0.335,0.3,0.261,0.281,0.271,0.32,0.335,0.542,0.458,0.429,0.345,0.409,0.281,0.365,1.012,1.129,0.891,1.008,1.086,1.051,1.085,0.953,0.893,0.541,0.6,0.724,0.778,0.699,1.134,0.727,0.265,0.249,0.053,0.271,0.133,0.215,0.175,0.287,0.133,-0.022,0.112,0.081,0.143,0.21,0.167,0.344
16,16,256,0.15,0,0.15,0.0003,0.003,16,64,0.001,0.8646457672119141,0.251,0.276,0.31,0.365,0.256,0.291,0.276,0.34,0.34,0.478,0.488,0.365,0.35,0.429,0.207,0.369,1.029,1.098,0.864,0.929,1.088,1.042,1.033,0.945,0.854,0.55,0.595,0.697,0.759,0.68,1.13,0.778,0.299,0.287,0.228,0.252,0.18,0.185,0.208,0.294,0.32,0.068,0.104,0.285,0.185,0.28,0.206,0.217
4,8,64,0.2,0.15,0.1,0.001,0.001,4,32,0.001,0.8537320709228515,0.251,0.31,0.266,0.34,0.286,0.325,0.305,0.286,0.305,0.424,0.448,0.379,0.433,0.394,0.246,0.34,0.979,1.003,0.931,0.884,1.012,0.961,0.988,0.947,0.918,0.658,0.641,0.745,0.727,0.728,1.084,0.757,0.366,0.399,0.075,0.295,0.267,0.344,0.334,0.33,0.081,-0.068,0.101,0.198,0.28,0.069,0.241,0.249
8,16,256,0.2,0.1,0.1,0.0005,0.001,4,128,0.01,0.8564234161376953,0.261,0.276,0.345,0.33,0.266,0.276,0.261,0.296,0.305,0.493,0.483,0.365,0.34,0.414,0.266,0.355,1.016,1.071,0.865,0.885,1.083,1.037,1.041,0.956,0.948,0.554,0.619,0.702,0.769,0.711,1.1,0.741,0.268,0.285,0.175,0.241,0.157,0.172,0.161,0.25,-0.076,-0.029,0.068,0.227,0.083,0.097,0.179,0.262
16,16,128,0.5,0,0,0.0003,0.001,8,4,0.002,0.8854953002929687,0.241,0.276,0.35,0.394,0.251,0.33,0.246,0.296,0.325,0.478,0.502,0.394,0.365,0.419,0.192,0.384,1.041,1.08,0.894,0.879,1.07,1.019,1.061,0.972,0.87,0.534,0.582,0.698,0.738,0.687,1.126,0.749,0.244,0.302,0.125,0.264,0.203,0.225,0.209,0.278,0.27,0.158,0.189,0.23,0.195,0.201,0.21,0.264
